,boro,housenumber,streetname,zip,address,long,lat
10972,MANHATTAN,323,EAST 52 STREET,10022,"323 EAST 52 STREET, NEW YORK, NEW YORK",,
10973,MANHATTAN,324,EAST 52 STREET,10022,"324 EAST 52 STREET, NEW YORK, NEW YORK",,
10974,MANHATTAN,325,EAST 52 STREET,10022,"325 EAST 52 STREET, NEW YORK, NEW YORK",,
10975,MANHATTAN,327,EAST 52 STREET,10022,"327 EAST 52 STREET, NEW YORK, NEW YORK",,
10976,MANHATTAN,328,EAST 52 STREET,10022,"328 EAST 52 STREET, NEW YORK, NEW YORK",,
10977,MANHATTAN,329,EAST 52 STREET,10022,"329 EAST 52 STREET, NEW YORK, NEW YORK",,
10978,MANHATTAN,514,EAST 84 STREET,10028,"514 EAST 84 STREET, NEW YORK, NEW YORK",,
10979,MANHATTAN,516,EAST 84 STREET,10028,"516 EAST 84 STREET, NEW YORK, NEW YORK",,
10980,MANHATTAN,517,EAST 84 STREET,10028,"517 EAST 84 STREET, NEW YORK, NEW YORK",,
10981,MANHATTAN,518,EAST 84 STREET,10028,"518 EAST 84 STREET, NEW YORK, NEW YORK",,
10982,MANHATTAN,523,EAST 84 STREET,10028,"523 EAST 84 STREET, NEW YORK, NEW YORK",,
10983,MANHATTAN,524,EAST 84 STREET,10028,"524 EAST 84 STREET, NEW YORK, NEW YORK",,
10984,MANHATTAN,526,EAST 84 STREET,10028,"526 EAST 84 STREET, NEW YORK, NEW YORK",,
10985,MANHATTAN,534,EAST 84 STREET,10028,"534 EAST 84 STREET, NEW YORK, NEW YORK",,
10986,MANHATTAN,7,EAST 84 STREET,10028,"7 EAST 84 STREET, NEW YORK, NEW YORK",,
10987,MANHATTAN,9,EAST 84 STREET,10028,"9 EAST 84 STREET, NEW YORK, NEW YORK",,
10988,MANHATTAN,10,EAST 85 STREET,10028,"10 EAST 85 STREET, NEW YORK, NEW YORK",,
10989,MANHATTAN,104,EAST 85 STREET,10028,"104 EAST 85 STREET, NEW YORK, NEW YORK",,
10990,MANHATTAN,106,EAST 85 STREET,10028,"106 EAST 85 STREET, NEW YORK, NEW YORK",,
10991,MANHATTAN,111,EAST 85 STREET,10028,"111 EAST 85 STREET, NEW YORK, NEW YORK",,
